City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,udachny,66.4167,112.4,260.62,67,9,1.4,RU,1712542238
180,havre,49.5833,0.3333,283.02,87,0,4.12,FR,1712542001
181,teguise,29.0605,-13.564,289.27,63,75,6.17,ES,1712542238
182,nemuro,43.3236,145.575,277.75,99,100,5.44,JP,1712542238
183,san borja,-14.8167,-66.85,297.69,95,98,0.81,BO,1712541989
184,klyuchi,52.2667,79.1667,277.54,82,100,1.71,RU,1712542239
185,nuku'alofa,-21.1333,-175.2,299.13,75,100,10.22,TO,1712542239
186,akrehamn,59.2667,5.1833,283.15,87,100,8.23,NO,1712542239
187,charters towers,-20.1,146.2667,304.05,40,96,2.02,AU,1712542004
188,puerto ayora,-0.7393,-90.3518,298.46,99,96,0.89,EC,1712542240
189,kharp,66.8014,65.8081,261.32,89,55,3.24,RU,1712542240
190,jutai,-5.1833,-68.9,296.63,97,100,0.33,BR,1712542240
191,college,64.8569,-147.8028,276.33,64,20,3.09,US,1712542240
192,highworth,51.6305,-1.711,284.52,85,100,5.14,GB,1712542241
193,bhimunipatnam,17.8833,83.4333,301.88,78,25,5.32,IN,1712542143
194,tazovsky,67.4667,78.7,268.7,94,100,8.51,RU,1712542241
195,quellon,-43.1167,-73.6167,281.82,96,100,2.93,CL,1712542241
196,colonia,50.9333,6.95,287.57,85,0,2.57,DE,1712541965
197,fort bragg,35.139,-79.006,286.04,66,0,0.0,US,1712542209
198,kaiyuan,23.6977,103.3037,301.51,37,0,0.8,CN,1712542242
199,new norfolk,-42.7826,147.0587,290.88,56,73,4.18,AU,1712542022
200,bhinmal,25.0,72.25,300.1,31,1,1.04,IN,1712542242
201,polur,12.5,79.1333,299.91,63,34,1.94,IN,1712542242
202,ballina,-28.8667,153.5667,301.36,44,20,1.75,AU,1712542242
203,san patricio,28.017,-97.5169,297.55,89,100,4.59,US,1712542135
204,tupiza,-21.45,-65.7167,285.45,74,100,2.79,BO,1712542242
205,sherbakul',54.6316,72.3963,273.95,84,98,4.99,RU,1712542243
206,santiago de cao,-7.9589,-79.2392,294.22,83,40,5.14,PE,1712542243
207,mejit,10.2753,170.8646,300.23,81,100,9.69,MH,1712541882
208,neietsu,37.1845,128.4682,292.38,39,100,1.23,KR,1712542243
209,cannonvale,-20.2833,148.7,299.81,72,8,5.06,AU,1712542243
210,maffra,-37.9667,146.9833,292.78,59,45,3.18,AU,1712542243
211,dudinka,69.4058,86.1778,265.75,92,100,10.73,RU,1712542080
212,nieul-sur-mer,46.2058,-1.1645,284.18,94,0,3.6,FR,1712542244
213,manokwari,-0.8667,134.0833,300.3,85,99,3.05,ID,1712542081
214,papao,-17.75,-149.55,303.97,71,100,2.73,PF,1712541634
215,kasane,-17.8167,25.15,292.19,93,100,1.86,BW,1712542244
216,kismayo,-0.3582,42.5454,301.73,78,100,3.42,SO,1712541984
217,kokopo,-4.352,152.2633,301.73,77,78,3.84,PG,1712542218
218,crane,31.3974,-102.3501,293.93,10,0,3.52,US,1712542006
219,flying fish cove,-10.4217,105.6791,301.97,69,100,5.14,CX,1712542149
220,victorica,-36.2151,-65.4359,292.61,61,100,8.06,AR,1712542245
221,fortaleza,-3.7227,-38.5247,301.22,83,40,0.51,BR,1712541389
222,yazman,29.1212,71.7446,300.27,12,0,4.03,PK,1712542245
223,port mathurin,-19.6833,63.4167,300.08,81,16,4.87,MU,1712542246
224,saldanha,-33.0117,17.9442,287.09,94,61,3.87,ZA,1712542246
225,montlucon,46.3333,2.6,281.87,95,95,2.21,FR,1712542246
226,praia da vitoria,38.7333,-27.0667,288.01,86,92,2.43,PT,1712542246
227,ringkobing,56.0901,8.244,283.16,86,9,7.13,DK,1712542246
228,acarau,-2.8856,-40.12,298.18,90,100,2.1,BR,1712542247
229,la gi,10.6667,107.7833,303.79,58,10,5.04,VN,1712542247
230,pyay,18.8167,95.2167,304.8,53,1,1.42,MM,1712542247
231,kavieng,-2.5744,150.7967,301.33,78,93,1.95,PG,1712541995
232,thunder bay,48.4001,-89.3168,275.34,81,99,2.9,CA,1712542241
233,ancud,-41.8697,-73.8203,286.63,99,100,5.38,CL,1712542247
234,san marcos,33.1434,-117.1661,287.56,71,0,4.12,US,1712542248
235,awjilah,29.1081,21.2869,288.49,70,0,4.95,LY,1712542233
236,vilyuchinsk,52.9306,158.4028,277.3,88,89,0.64,RU,1712542125
237,kapa'a,22.0752,-159.319,301.14,78,100,7.72,US,1712542076
238,bentiu,9.2333,29.8333,299.88,64,87,0.79,SS,1712542248
239,ilabaya,-17.4208,-70.5133,293.99,74,100,0.91,PE,1712542248
240,villa huidobro,-34.8383,-64.5869,289.39,72,26,4.12,AR,1712542249
241,ingeniero jacobacci,-41.3427,-69.5448,288.61,56,100,6.57,AR,1712542249
242,christchurch,-43.5333,172.6333,295.67,71,0,5.66,NZ,1712542057
243,angra dos reis,-23.0067,-44.3181,296.49,90,65,1.21,BR,1712541883
244,port hedland,-20.3167,118.5667,306.18,15,100,10.8,AU,1712542249
245,susuman,62.7833,148.1667,262.58,72,67,0.89,RU,1712541975
246,kununurra,-15.7667,128.7333,303.14,35,2,6.17,AU,1712542250
247,bengkulu,-3.8004,102.2655,299.4,85,100,0.83,ID,1712542064
248,carutapera,-1.195,-46.02,297.61,93,100,2.21,BR,1712542250
249,chonchi,-42.6128,-73.8092,283.22,99,100,0.49,CL,1712542117
250,nadym,65.5333,72.5167,268.13,94,100,7.01,RU,1712542250
251,tres palos,18.1833,-101.6167,296.62,53,17,1.68,MX,1712542251
252,punta arenas,-53.15,-70.9167,276.21,81,20,10.29,CL,1712542251
253,poltavka,54.3663,71.7632,274.43,87,100,4.97,RU,1712542251
254,villa regina,-39.1,-67.0667,293.75,34,100,2.97,AR,1712541963
255,nagqu,31.5,92.0,274.38,17,99,5.5,CN,1712542147
256,mahina,-17.5065,-149.489,304.02,70,40,5.66,PF,1712542251
257,gorizia,45.9167,13.5,289.07,90,100,0.51,IT,1712542252
258,mount gambier,-37.8333,140.7667,289.89,61,100,4.68,AU,1712542230
259,igrim,63.1906,64.4162,266.66,96,63,2.64,RU,1712542252
260,nar'yan-mar,67.6713,53.087,261.54,90,91,4.92,RU,1712542145
261,ubari,26.5921,12.7805,291.52,14,0,2.77,LY,1712542144
262,fort st. john,56.2499,-120.8529,279.74,45,100,4.85,CA,1712542186
263,nikolayevsk-on-amure,53.1406,140.73,272.71,93,100,3.13,RU,1712542252
264,eastham,41.8301,-69.9739,278.12,87,0,1.54,US,1712542253
265,datia,25.6667,78.4667,300.75,10,0,1.11,IN,1712542253
266,taoudenni,22.6783,-3.9836,305.16,9,51,3.64,ML,1712542198
267,hashtrud,37.4779,47.0508,279.66,84,100,4.7,IR,1712542253
268,ulsteinvik,62.3432,5.8487,282.65,77,0,4.92,NO,1712542253
269,kalawit,8.0667,122.5167,303.29,65,100,5.3,PH,1712542253
270,novodvinsk,64.4165,40.8122,270.01,93,100,3.28,RU,1712541728
271,novo aripuana,-5.1206,-60.3797,296.94,98,86,0.6,BR,1712542254
272,la passe,45.5549,-0.8967,283.28,95,100,3.52,FR,1712542254
273,maryborough,-25.5333,152.7,298.77,62,41,1.22,AU,1712542254
274,nuuk,64.1835,-51.7216,269.49,86,20,2.57,GL,1712542200
275,erbaa,40.6689,36.5675,281.67,85,100,0.31,TR,1712542254
276,pachino,36.7186,15.0907,289.11,62,0,2.5,IT,1712542255
277,koratla,18.8167,78.7167,302.46,36,100,5.87,IN,1712542255
278,hargeysa,9.56,44.065,296.24,50,24,3.87,SO,1712542255
279,kapuskasing,49.4169,-82.4331,274.21,94,1,1.74,CA,1712542130
280,korla,41.7597,86.1469,288.1,21,99,2.07,CN,1712542255
281,adjumani,3.3779,31.7909,292.23,97,100,0.74,UG,1712542255
282,cave spring,37.2276,-80.0128,288.21,50,40,1.54,US,1712542256
283,la'ie,21.6477,-157.9253,300.13,69,11,4.47,US,1712542059
284,rosarito,32.3333,-117.0333,288.1,71,71,3.83,MX,1712542203
285,wake village,33.4268,-94.1063,292.21,47,0,0.0,US,1712542256
286,enewetak,11.3474,162.3373,300.6,78,49,8.4,MH,1712542256
287,kongsvinger,60.1905,11.9977,278.52,98,96,3.14,NO,1712542256
288,ancenis,47.3667,-1.1667,284.93,96,100,2.96,FR,1712542257
289,mizan teferi,6.9833,35.5833,289.65,95,58,1.19,ET,1712542257
290,vila velha,-20.3297,-40.2925,296.45,95,20,1.54,BR,1712541634
291,northam,51.0333,-4.2167,285.74,96,100,6.3,GB,1712542257
292,biltine,14.5333,20.9167,299.95,13,90,3.65,TD,1712542139
293,nampula,-15.1165,39.2666,293.24,99,68,1.72,MZ,1712542257
294,nova vicosa,-17.8919,-39.3719,298.84,78,94,4.02,BR,1712542258
295,tsaratanana,-16.7833,47.65,294.68,86,5,3.01,MG,1712542258
296,tura,25.5198,90.2201,301.88,41,99,2.35,IN,1712542179
297,laascaanood,8.4774,47.3597,295.69,90,92,2.71,SO,1712542258
298,bata,1.8639,9.7658,299.27,88,100,1.8,GQ,1712542258
299,zouerate,22.7187,-12.4521,292.88,46,0,8.94,MR,1712542138
300,kogalym,62.2654,74.4791,268.7,72,100,7.15,RU,1712542259
301,elesbao veloso,-6.2019,-42.1403,295.95,94,81,0.11,BR,1712542259
302,wadsworth,41.0256,-81.7299,285.87,76,37,3.91,US,1712542187
303,la ronge,55.1001,-105.2842,274.74,99,73,1.65,CA,1712542259
304,saint-pierre,-21.3393,55.4781,296.97,73,0,3.09,RE,1712542021
305,bei'an,24.5399,109.533,291.17,80,100,2.99,CN,1712542259
306,coari,-4.085,-63.1414,296.87,97,45,0.92,BR,1712542259
307,micco,27.8806,-80.5003,293.74,70,61,1.34,US,1712542260
308,tutoia,-2.7619,-42.2744,298.38,90,100,1.51,BR,1712542260
309,alofi,-19.0595,-169.9187,301.09,83,75,7.2,NU,1712542260
310,ajijic,20.3,-103.2833,299.0,33,58,4.09,MX,1712542260
311,vorgashor,67.5833,63.95,260.82,96,97,5.53,RU,1712542195
312,preobrazheniye,42.9019,133.9064,286.58,42,96,2.87,RU,1712542260
313,arkhangel'sk,64.5401,40.5433,270.21,100,100,5.0,RU,1712542061
314,livingstone,-17.8419,25.8543,292.64,96,100,1.81,ZM,1712542261
315,novaya igirma,57.1334,103.9112,270.94,82,100,5.39,RU,1712542261
316,mili,6.0815,171.735,301.16,84,97,9.89,MH,1712542261
317,mumbwa,-14.9783,27.0619,292.01,95,100,1.25,ZM,1712542261
318,pandan,14.0453,124.1694,302.11,70,50,3.64,PH,1712542262
319,howard springs,-12.497,131.047,304.75,65,57,3.42,AU,1712542152
320,rimouski,48.4488,-68.524,274.25,85,96,2.35,CA,1712541992
321,zhezqazghan,47.7833,67.7667,282.47,93,75,5.0,KZ,1712542262
322,machalpur,24.1333,76.3,300.73,19,4,1.99,IN,1712542262
323,kangding,30.0513,101.9603,281.38,100,100,1.63,CN,1712542017
324,mantua,45.1667,10.7833,289.31,91,100,0.45,IT,1712542263
325,namibe,-15.1961,12.1522,295.1,81,86,1.94,AO,1712542129
326,jayapura,-2.5333,140.7,304.81,77,100,1.71,ID,1712542263
327,hede,33.7681,120.2517,288.11,51,100,1.87,CN,1712542263
328,camacupa,-12.0167,17.4833,290.22,99,100,1.82,AO,1712542263
329,lazaro cardenas,17.9583,-102.2,297.1,75,25,3.79,MX,1712542176
330,luderitz,-26.6481,15.1594,286.68,91,8,1.77,NA,1712542074
331,island harbour,50.724,-1.2758,284.22,89,100,2.68,GB,1712542264
332,al jubayl,27.0112,49.6583,298.4,44,100,5.02,SA,1712542264
333,kailua-kona,19.6406,-155.9956,299.97,71,91,0.45,US,1712541841
334,filiatra,37.15,21.5833,286.79,70,1,1.95,GR,1712542264
335,manaure,11.7751,-72.4445,301.57,69,100,5.79,CO,1712542265
336,kyzyl,51.7,94.45,279.27,72,100,2.24,RU,1712542265
337,motygino,58.1831,94.7592,265.25,85,5,0.89,RU,1712542265
338,brady,31.1352,-99.3351,294.56,18,0,3.6,US,1712542265
339,sao gabriel da cachoeira,-0.1303,-67.0892,296.83,98,17,1.06,BR,1712542091
340,darwin,-12.4611,130.8418,304.79,46,0,5.66,AU,1712542080
341,kone,-21.0595,164.8658,305.27,43,100,2.81,NC,1712542266
342,westport,41.1415,-73.3579,280.38,73,0,2.57,US,1712542238
343,souillac,-20.5167,57.5167,296.12,89,2,1.84,MU,1712542255
344,labrador city,52.9463,-66.9114,270.11,95,100,1.55,CA,1712542266
345,weno,7.4515,151.8468,302.12,89,100,3.09,FM,1712542266
346,monschau,50.55,6.25,284.53,96,75,1.03,DE,1712541977
347,nova xavantina,-14.6667,-52.35,296.92,95,100,0.72,BR,1712541841
348,veraval,20.9,70.3667,298.3,68,0,5.01,IN,1712542267
349,ghadamis,30.1337,9.5007,294.7,9,5,4.13,LY,1712541894
350,corfu,39.62,19.9197,291.03,88,20,1.03,GR,1712542267
351,port antonio,18.18,-76.4612,298.12,87,10,2.48,JM,1712542267
352,vernon,50.2581,-119.2691,286.35,34,97,2.68,CA,1712542066
353,calabozo,8.9242,-67.4293,307.76,29,99,2.97,VE,1712542268
354,galle,6.0367,80.217,300.18,83,100,1.54,LK,1712542094
355,revda,56.801,59.9303,274.48,98,100,2.67,RU,1712542268
356,berezovyy,51.6667,135.7,273.18,55,100,2.28,RU,1712542011
357,burutu,5.3509,5.5076,300.64,86,100,2.38,NG,1712542268
358,wanning,18.8003,110.3967,302.42,67,17,4.65,CN,1712542268
359,coahuayana de hidalgo,18.7,-103.6583,293.99,90,6,0.31,MX,1712541602
360,magomeni,-6.8,39.25,297.2,95,100,3.03,TZ,1712542269
361,okha,53.5739,142.9478,271.62,92,90,10.28,RU,1712541972
362,codrington,-38.2667,141.9667,290.35,63,100,7.65,AU,1712541897
363,isafjordur,66.0755,-23.124,268.33,87,95,11.74,IS,1712542078
364,hailar,49.2,119.7,265.22,71,0,2.55,CN,1712542054
365,tobruk,32.0836,23.9764,290.56,81,40,8.86,LY,1712542048
366,palmer,42.1584,-72.3287,278.8,77,0,0.0,US,1712542230
